pin ID,numeric ID,pin name,side,side order
J11,410,GND_135,right,11
J12,411,HA11_P,right,12
J13,412,HA11_N,right,13
J14,413,GND_136,right,14
J15,414,HA14_P,right,15
J16,415,HA14_N,right,16
J17,416,GND_137,right,17
J18,417,HA18_P,right,18
J19,418,HA18_N,right,19
J20,419,GND_138,right,20
J21,420,HA22_P,right,21
J22,421,HA22_N,right,22
J23,422,GND_139,right,23
J24,423,HB01_P,right,24
J25,424,HB01_N,right,25
J26,425,GND_140,right,26
J27,426,HB07_P,right,27
J28,427,HB07_N,right,28
J29,428,GND_141,right,29
J30,429,HB11_P,right,30
J31,430,HB11_N,right,31
J32,431,GND_142,right,32
J33,432,HB15_P,right,33
J34,433,HB15_N,right,34
J35,434,GND_143,right,35
J36,435,HB18_P,right,36
J37,436,HB18_N,right,37
J38,437,GND_144,right,38
J39,438,VIO_B_M2C_1,right,39
J40,439,GND_145,right,40
K1,440,VREF_B_M2C,right,1
K2,441,GND_146,right,2
K3,442,GND_147,right,3
K4,443,CLK2_BIDIR_P,right,4
K5,444,CLK2_BIDIR_N,right,5
K6,445,GND_148,right,6
K7,446,HA02_P,right,7
K8,447,HA02_N,right,8
K9,448,GND_149,right,9
K10,449,HA06_P,right,10
K11,450,HA06_N,right,11
K12,451,GND_150,right,12
K13,452,HA10_P,right,13
K14,453,HA10_N,right,14
K15,454,GND_151,right,15
K16,455,HA17_P_CC,right,16
K17,456,HA17_N_CC,right,17
K18,457,GND_152,right,18
K19,458,HA21_P,right,19
K20,459,HA21_N,right,20
K21,460,GND_153,right,21
K22,461,HA23_P,right,22
K23,462,HA23_N,right,23
K24,463,GND_154,right,24
K25,464,HB00_P_CC,right,25
K26,465,HB00_N_CC,right,26
K27,466,GND_155,right,27
K28,467,HB06_P_CC,right,28
K29,468,HB06_N_CC,right,29
K30,469,GND_156,right,30
K31,470,HB10_P,right,31
K32,471,HB10_N,right,32
K33,472,GND_157,right,33
K34,473,HB14_P,right,34
K35,474,HB14_N,right,35
K36,475,GND_158,right,36
K37,476,HB17_P_CC,right,37
K38,477,HB17_N_CC,right,38
K39,478,GND_159,right,39
K40,479,VIO_B_M2C_2,right,40
ST1,480,GND_ST1,right,41
ST2,481,GND_ST2,right,42
