Object Kind	X1	Y1	Orientation	Name	Show Name	Pin Designator	Show Designator	Row	Column	Index
Pin	0mil	2000mil	180 Degrees	pin	false	C20	true	C	20	119	
Pin	0mil	2100mil	180 Degrees	pin	false	C21	true	C	21	120	
Pin	0mil	2200mil	180 Degrees	pin	false	C22	true	C	22	121	
Pin	0mil	2300mil	180 Degrees	pin	false	C23	true	C	23	122	
Pin	0mil	2400mil	180 Degrees	pin	false	C24	true	C	24	123	
Pin	0mil	2500mil	180 Degrees	pin	false	C25	true	C	25	124	
Pin	0mil	2600mil	180 Degrees	pin	false	C26	true	C	26	125	
Pin	0mil	2700mil	180 Degrees	pin	false	C27	true	C	27	126	
Pin	0mil	2800mil	180 Degrees	pin	false	C28	true	C	28	127	
Pin	0mil	2900mil	180 Degrees	pin	false	C29	true	C	29	128	
Pin	0mil	3000mil	180 Degrees	pin	false	C30	true	C	30	129	
Pin	0mil	3100mil	180 Degrees	pin	false	C31	true	C	31	130	
Pin	0mil	3200mil	180 Degrees	pin	false	C32	true	C	32	131	
Pin	0mil	3300mil	180 Degrees	pin	false	C33	true	C	33	132	
Pin	0mil	3400mil	180 Degrees	pin	false	C34	true	C	34	133	
Pin	0mil	3500mil	180 Degrees	pin	false	C35	true	C	35	134	
Pin	0mil	3600mil	180 Degrees	pin	false	C36	true	C	36	135	
Pin	0mil	3700mil	180 Degrees	pin	false	C37	true	C	37	136	
Pin	0mil	3800mil	180 Degrees	pin	false	C38	true	C	38	137	
Pin	0mil	3900mil	180 Degrees	pin	false	C39	true	C	39	138	
Pin	0mil	4000mil	180 Degrees	pin	false	C40	true	C	40	139	
Pin	0mil	4100mil	180 Degrees	pin	false	C41	true	C	41	140	
Pin	0mil	4200mil	180 Degrees	pin	false	C42	true	C	42	141	
Pin	0mil	4300mil	180 Degrees	pin	false	C43	true	C	43	142	
Pin	0mil	4400mil	180 Degrees	pin	false	C44	true	C	44	143	
Pin	0mil	4500mil	180 Degrees	pin	false	C45	true	C	45	144	
Pin	0mil	4600mil	180 Degrees	pin	false	C46	true	C	46	145	
Pin	0mil	4700mil	180 Degrees	pin	false	C47	true	C	47	146	
Pin	0mil	4800mil	180 Degrees	pin	false	C48	true	C	48	147	
Pin	0mil	4900mil	180 Degrees	pin	false	C49	true	C	49	148	
Pin	0mil	5000mil	180 Degrees	pin	false	C50	true	C	50	149	
Pin	0mil	100mil	180 Degrees	pin	false	D1	true	D	1	150	
Pin	0mil	200mil	180 Degrees	pin	false	D2	true	D	2	151	
Pin	0mil	300mil	180 Degrees	pin	false	D3	true	D	3	152	
Pin	0mil	400mil	180 Degrees	pin	false	D4	true	D	4	153	
Pin	0mil	500mil	180 Degrees	pin	false	D5	true	D	5	154	
Pin	0mil	600mil	180 Degrees	pin	false	D6	true	D	6	155	
Pin	0mil	700mil	180 Degrees	pin	false	D7	true	D	7	156	
Pin	0mil	800mil	180 Degrees	pin	false	D8	true	D	8	157	
Pin	0mil	900mil	180 Degrees	pin	false	D9	true	D	9	158	
Pin	0mil	1000mil	180 Degrees	pin	false	D10	true	D	10	159	
Pin	0mil	1100mil	180 Degrees	pin	false	D11	true	D	11	160	
Pin	0mil	1200mil	180 Degrees	pin	false	D12	true	D	12	161	
Pin	0mil	1300mil	180 Degrees	pin	false	D13	true	D	13	162	
Pin	0mil	1400mil	180 Degrees	pin	false	D14	true	D	14	163	
Pin	0mil	1500mil	180 Degrees	pin	false	D15	true	D	15	164	
Pin	0mil	1600mil	180 Degrees	pin	false	D16	true	D	16	165	
Pin	0mil	1700mil	180 Degrees	pin	false	D17	true	D	17	166	
Pin	0mil	1800mil	180 Degrees	pin	false	D18	true	D	18	167	
Pin	0mil	1900mil	180 Degrees	pin	false	D19	true	D	19	168	
Pin	0mil	2000mil	180 Degrees	pin	false	D20	true	D	20	169	
Pin	0mil	2100mil	180 Degrees	pin	false	D21	true	D	21	170	
Pin	0mil	2200mil	180 Degrees	pin	false	D22	true	D	22	171	
Pin	0mil	2300mil	180 Degrees	pin	false	D23	true	D	23	172	
Pin	0mil	2400mil	180 Degrees	pin	false	D24	true	D	24	173	
Pin	0mil	2500mil	180 Degrees	pin	false	D25	true	D	25	174	
Pin	0mil	2600mil	180 Degrees	pin	false	D26	true	D	26	175	
Pin	0mil	2700mil	180 Degrees	pin	false	D27	true	D	27	176	
Pin	0mil	2800mil	180 Degrees	pin	false	D28	true	D	28	177	
Pin	0mil	2900mil	180 Degrees	pin	false	D29	true	D	29	178	
Pin	0mil	3000mil	180 Degrees	pin	false	D30	true	D	30	179	
Pin	0mil	3100mil	180 Degrees	pin	false	D31	true	D	31	180	
Pin	0mil	3200mil	180 Degrees	pin	false	D32	true	D	32	181	
Pin	0mil	3300mil	180 Degrees	pin	false	D33	true	D	33	182	
Pin	0mil	3400mil	180 Degrees	pin	false	D34	true	D	34	183	
Pin	0mil	3500mil	180 Degrees	pin	false	D35	true	D	35	184	
Pin	0mil	3600mil	180 Degrees	pin	false	D36	true	D	36	185	
Pin	0mil	3700mil	180 Degrees	pin	false	D37	true	D	37	186	
Pin	0mil	3800mil	180 Degrees	pin	false	D38	true	D	38	187	
Pin	0mil	3900mil	180 Degrees	pin	false	D39	true	D	39	188	
Pin	0mil	4000mil	180 Degrees	pin	false	D40	true	D	40	189	
Pin	0mil	4100mil	180 Degrees	pin	false	D41	true	D	41	190	
Pin	0mil	4200mil	180 Degrees	pin	false	D42	true	D	42	191	
Pin	0mil	4300mil	180 Degrees	pin	false	D43	true	D	43	192	
Pin	0mil	4400mil	180 Degrees	pin	false	D44	true	D	44	193	
Pin	0mil	4500mil	180 Degrees	pin	false	D45	true	D	45	194	
Pin	0mil	4600mil	180 Degrees	pin	false	D46	true	D	46	195	
Pin	0mil	4700mil	180 Degrees	pin	false	D47	true	D	47	196	
Pin	0mil	4800mil	180 Degrees	pin	false	D48	true	D	48	197	
Pin	0mil	4900mil	180 Degrees	pin	false	D49	true	D	49	198	
Pin	0mil	5000mil	180 Degrees	pin	false	D50	true	D	50	199	
Pin	0mil	100mil	180 Degrees	pin	false	E1	true	E	1	200	
Pin	0mil	200mil	180 Degrees	pin	false	E2	true	E	2	201	
Pin	0mil	300mil	180 Degrees	pin	false	E3	true	E	3	202	
Pin	0mil	400mil	180 Degrees	pin	false	E4	true	E	4	203	
Pin	0mil	500mil	180 Degrees	pin	false	E5	true	E	5	204	
Pin	0mil	600mil	180 Degrees	pin	false	E6	true	E	6	205	
Pin	0mil	700mil	180 Degrees	pin	false	E7	true	E	7	206	
Pin	0mil	800mil	180 Degrees	pin	false	E8	true	E	8	207	
Pin	0mil	900mil	180 Degrees	pin	false	E9	true	E	9	208	
Pin	0mil	1000mil	180 Degrees	pin	false	E10	true	E	10	209	
Pin	0mil	1100mil	180 Degrees	pin	false	E11	true	E	11	210	
Pin	0mil	1200mil	180 Degrees	pin	false	E12	true	E	12	211	
Pin	0mil	1300mil	180 Degrees	pin	false	E13	true	E	13	212	
Pin	0mil	1400mil	180 Degrees	pin	false	E14	true	E	14	213	
Pin	0mil	1500mil	180 Degrees	pin	false	E15	true	E	15	214	
Pin	0mil	1600mil	180 Degrees	pin	false	E16	true	E	16	215	
Pin	0mil	1700mil	180 Degrees	pin	false	E17	true	E	17	216	
Pin	0mil	1800mil	180 Degrees	pin	false	E18	true	E	18	217	
Pin	0mil	1900mil	180 Degrees	pin	false	E19	true	E	19	218	
